nameCn,excelWetWeightMg,builtinWetWeightMg,diff,relDiff,excelLatin,builtinLatin,alias
瘤甲腔轮虫,0.00006,0.00006,0,0,Lacane nodosa Hauer,Lacane nodosa Hauer,
月形腔轮虫,0.00017,0.00017,0,0,Lecane luna O.F.Muller,Lecane luna O.F.Muller,
蹄形腔轮虫,0.0017,0.0017,0,0,Lecane ungulata,Lecane ungulata,
盘状鞍甲轮虫,0.0003,0.0003,0,0,Lepadella patella （Muller）,Lepadella patella （Muller）,
尖趾单趾轮虫,0.0001,0.0001,0,0,Monodtyla unguitata Schmarda,Monodtyla unguitata Schmarda,
囊形单趾轮虫,0.0001,0.0001,0,0,Monostyla bulla Gosse,Monostyla bulla Gosse,
尖角单趾轮虫,0.0001,0.0001,0,0,Monostyla hamata Stokes,Monostyla hamata Stokes,
月形单趾轮虫,0.00007,0.00007,0,0,Monostyla lunaris Ehrenberg,Monostyla lunaris Ehrenberg,
梨形单趾轮虫,0.001,0.001,0,0,Monostyla puriformis,Monostyla puriformis,
鳞状叶轮虫,0.00012,0.00012,0,0,Nothoca squamula  （O.P.Muller）,Nothoca squamula  （O.P.Muller）,
浮尖削叶轮虫,0.00012,0.00012,0,0,Notholca acuminata var.limnetica Levander,Notholca acuminata var.limnetica Levander,
唇形叶轮虫,0.00012,0.00012,0,0,Notholca labis Gosse,Notholca labis Gosse,
长刺叶轮虫,0.0025,0.0025,0,0,Notholca longispina,Notholca longispina,
玫瑰旋轮虫,0.000236,0.000236,0,0,Philodina roseola Ehrenberg,Philodina roseola Ehrenberg,
赫氏皱甲轮虫,0.1,0.1,0,0,Pleosoma hudsoni,Pleosoma hudsoni,
截头皱甲轮虫,0.000806662803,0.23,-0.229193337197,-0.9964927704217391304347826087,Ploesoma truncatum,Pleosoma truncatum,
广布多肢轮虫,0.000331,0.000331,0,0,Polyarthra vulgaris,Polyarthra vulgaris,
扁平泡轮虫,0.000127,0.000127,0,0,Pompholyx complanata Gosse,Pompholyx complanata Gosse,
沟痕泡轮虫,0.000127,0.000127,0,0,Pompholyx sulcata Hudson,Pompholyx sulcata Hudson,
简单前翼轮虫,0.00004,0.00004,0,0,Proales simplex Wang,Proales simplex Wang,
前额犀轮虫,0.000353,0.000353,0,0,Rhinoglena frontalis Ehrenberg,Rhinoglena frontalis Ehrenberg,
长足轮虫,0.0005,0.0005,0,0,Rotaria neptunia （Ehrenberg）,Rotaria neptunia （Ehrenberg）,
转轮虫,0.0005,0.0005,0,0,Rotaria rotatoria （Pallas）,Rotaria rotatoria （Pallas）,
高跷轮虫,0.0002,0.0002,0,0,Scarridium longicaudum O.F.Muller,Scarridium longicaudum O.F.Muller,
长圆疣毛轮虫,0.00158,0.00158,0,0,Synchaeta oblonga Ehrenberg,Synchaeta oblonga Ehrenberg,
梳状疣毛轮虫,0.005,0.005,0,0,Synchaeta pectinata,Synchaeta pectinata,
尖尾疣毛轮虫,0.00076,0.00076,0,0,Synchaeta stylata Wierzejsky,Synchaeta stylata Wierzejsky,
微突镜轮虫,0.0004,0.0004,0,0,Testudinella Mucronta （ Gosse）,Testudinella Mucronta （ Gosse）,
暗小异尾轮虫,0.0000449737149,0.00005,-0.0000050262851,-0.100525702,Trichocerca pusilla,Trichicerca pusilla,
刺盖异尾轮虫,0.000046,0.000046,0,0,Trivhocerca capucina （Lauterborn）,Trivhocerca capucina （Lauterborn）,
方块鬼轮虫,0.0002,0.0002,0,0,Trichotria tetractis Ehrenberg,Trichotria tetractis Ehrenberg,
二突异尾轮虫,0.0001,0.0001,0,0,Trivhocerca bicristata Gosse,Trivhocerca bicristata Gosse,
方形尖额溞,0.005,0.005,0,0,Alona quadrangularis O.F.Muller,Alona quadrangularis O.F.Muller,
矩形尖额溞,0.005,0.005,0,0,Alona rectangula,Alona rectangula,
象鼻溞,0.03,0.03,0,0,Bosmina sp.,Bosmina sp.,
圆形盘肠溞,0.01,0.01,0,0,Chydorus sphaericus O.F.Muller,Chydorus sphaericus O.F.Muller,
隆线溞,0.2,0.2,0,0,Daphnia carinata King,Daphnia carinata King,
透明溞,0.05,0.05,0,0,Daphnia hyaline,Daphnia hyaline,
长刺溞,0.05,0.05,0,0,Daphnia longispina,Daphnia longispina,
大型溞,0.9,0.9,0,0,Daphnia magna Straus,Daphnia magna Straus,
蚤状溞,0.2,0.2,0,0,"Daphnia pulex Leydig emend,Scourfield","Daphnia pulex Leydig emend,Scourfield",
粗毛溞,0.03,0.03,0,0,Macrothrix sp.,Macrothrix sp.,
微型裸腹溞,0.01,0.01,0,0,Moina micrura Kutz,Moina micrura Kutz,
直额裸腹溞,0.1,0.1,0,0,Moina rectirostris （Leydig）,Moina rectirostris （Leydig）,
虱形大眼溞,0.01,0.01,0,0,Polyphemus pediculus Linne,Polyphemus pediculus Linne,
平突船卵溞,0.01,0.01,0,0,Scapholeberis mucronata （O.F.Muller）,Scapholeberis mucronata （O.F.Muller）,
老年低额溞,0.14,0.14,0,0,Simocephalus vetulus （Muller）,Simocephalus vetulus （Muller）,
桡足幼体,0.02,0.02,0,0,Copepodid,Copepodid,
近邻剑水蚤,0.07,0.07,0,0,Cyclops vicinus Uijanin,Cyclops vicinus Uijanin,
锯缘真剑水蚤,0.015,0.015,0,0,Eucyclops serrulatus （Fischer）,Eucyclops serrulatus （Fischer）,
如愿真剑水蚤,0.015,0.015,0,0,Eucyclops speratus （Lilljeborg）,Eucyclops speratus （Lilljeborg）,
无节幼体,0.003,0.003,0,0,Nauplii,Nauplii,
剑水蚤幼体,0.01,0.01,0,0,Nauplii of Cyclops,Nauplii of Cyclops,
细巧华哲水蚤,0.312,0.312,0,0,Sinocalanus tenellus （Kikuchi）,Sinocalanus tenellus （Kikuchi）,
大型中镖水蚤,0.5,0.5,0,0,Sinodia ptomus sarsi （Rylov）,Sinodia ptomus sarsi （Rylov）,
透明温剑水蚤,0.03,0.03,0,0,Thermocyclops hyalinus （Rehberg）,Thermocyclops hyalinus （Rehberg）,
等刺温剑水蚤,0.03,0.03,0,0,Thermocyclops kawamurai Kikuchi,Thermocyclops kawamurai Kikuchi,
台湾温剑水蚤,0.022,0.022,0,0,Thermocyclops taihokuensis harada,Thermocyclops taihokuensis harada,
